flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std
flow_1,172.28.0.2,172.28.0.3,500,500,UDP,2,1020,0.011762857437133789,506,514,510.0,4.0,170.02671423069907,86713.62425765653,1,1,506,514,0.011762857437133789,0.011762857437133789,0.011762857437133789,0.0
flow_2,172.28.0.2,172.28.0.3,4500,4500,UDP,2,604,0.014776945114135742,286,318,302.0,16.0,135.34597202278192,40874.48355088013,1,1,318,286,0.014776945114135742,0.014776945114135742,0.014776945114135742,0.0
flow_3,172.28.0.2,172.28.0.3,,,ESP,2,200,0.00019598007202148438,90,110,100.0,10.0,10205.119221411192,1020511.9221411193,1,1,110,90,0.00019598007202148438,0.00019598007202148438,0.00019598007202148438,0.0
